,Object,Mean Initial Quality Score,Mean Final Quality Score,Mean Max Quality Score,Mean Overall Score Improvement,Mean Iterations to First Success,Mean Quality Score
0, a chair with four legs,7.667,8.333,9.0,3.667,2.0,7.633
1, a table with four legs,9.667,9.333,10.0,1.0,2.0,9.7
2, a pyramid,8.333,6.667,9.0,4.333,2.0,7.6
3, a circular bowl,2.333,4.333,7.333,6.0,5.0,4.333
4, a cylindrical bottle,7.0,7.333,8.667,3.667,2.0,7.067
5, a curved vase,2.667,4.667,6.0,3.667,4.333,4.467
6, a candle with a flame,4.667,4.667,6.0,3.667,2.0,4.467
7, a mug with a handle,3.667,7.333,8.667,5.333,2.0,6.267
8, a desk lamp,4.333,5.333,7.0,4.0,2.0,5.133
9, a wine glass,3.333,4.333,5.333,2.667,4.333,4.167
10, a car with four wheels,4.333,5.333,8.0,5.333,2.0,5.267
11,a spiral staircase,7.0,7.333,8.0,2.0,2.0,7.167
12, a cathedral,1.333,2.0,2.667,1.667,10.0,1.833
13, a pair of eye glasses,2.0,3.0,3.333,1.667,7.667,2.233
14, a wrist watch,2.0,3.0,6.0,4.333,4.667,3.633
Average,N/A,4.689,5.533,7.0,3.533,3.6,5.398
